x, y, u, v: 23, 247, 0.117129, -2.51648
x, y, u, v: 39, 247, 0.0987516, -2.80305
x, y, u, v: 55, 247, 0.065295, -2.97729
x, y, u, v: 71, 247, 0.0539672, -3.41229
x, y, u, v: 87, 247, 0.108992, -3.45678
x, y, u, v: 103, 247, 0.0124924, -3.97321
x, y, u, v: 119, 247, 0.154945, -4.26819
x, y, u, v: 135, 247, 0.267273, -4.75065
x, y, u, v: 151, 247, 0.309546, -5.0424
x, y, u, v: 167, 247, 0.245411, -5.31178
x, y, u, v: 183, 247, 0.410908, -5.23639
x, y, u, v: 199, 247, 0.363257, -4.553
x, y, u, v: 215, 247, 0.562257, -3.88308
x, y, u, v: 231, 247, 0.406424, -2.8698
x, y, u, v: 247, 247, 0.898593, -0.441876
x, y, u, v: 263, 247, 0.660636, 1.39783
x, y, u, v: 279, 247, 1.51167, 3.11718
x, y, u, v: 295, 247, 0.859988, 3.93086
x, y, u, v: 311, 247, 0.98791, 4.91163
x, y, u, v: 327, 247, 1.24317, 5.38907
x, y, u, v: 343, 247, 0.581201, 5.35733
x, y, u, v: 359, 247, 0.291962, 5.02713
x, y, u, v: 375, 247, 4.31197, 1.45113
x, y, u, v: 391, 247, 0.352687, 4.26079
x, y, u, v: 407, 247, 0.139912, 3.90966
x, y, u, v: 423, 247, 0.188744, 3.56694
x, y, u, v: 439, 247, 0.188598, 3.27453
x, y, u, v: 455, 247, 0.133334, 2.9852
x, y, u, v: 471, 247, 0.111498, 2.8115
x, y, u, v: 487, 247, 0.0280467, 2.58009
x, y, u, v: 503, 247, 0.0888109, 2.44574
x, y, u, v: 7, 263, -0.128872, -2.43214
x, y, u, v: 23, 263, -0.0816567, -2.49921
x, y, u, v: 39, 263, -0.113484, -2.74505
x, y, u, v: 55, 263, -0.105785, -3.03291
x, y, u, v: 71, 263, -0.111267, -3.50043
x, y, u, v: 87, 263, -0.263603, -3.6452
x, y, u, v: 103, 263, -0.325696, -3.98814
x, y, u, v: 119, 263, -0.344222, -4.32182
x, y, u, v: 135, 263, -0.480006, -4.64107
x, y, u, v: 151, 263, -0.416848, -5.07997
x, y, u, v: 167, 263, -0.78006, -5.31937
x, y, u, v: 183, 263, -0.897596, -5.23904
x, y, u, v: 199, 263, -0.711147, -5.17513
x, y, u, v: 215, 263, -0.971634, -3.98402
x, y, u, v: 231, 263, -6.08091, 5.91267
x, y, u, v: 247, 263, -6.9615, -6.99809
x, y, u, v: 263, 263, -0.47442, 0.954438
x, y, u, v: 279, 263, -1.4434, 2.51217
x, y, u, v: 295, 263, -1.07042, 4.56076
x, y, u, v: 311, 263, -0.511631, 4.96505
x, y, u, v: 327, 263, -0.599878, 5.35165
x, y, u, v: 343, 263, -0.450654, 5.25421
x, y, u, v: 359, 263, -0.460754, 5.09695
x, y, u, v: 375, 263, -0.181491, 4.69833
x, y, u, v: 391, 263, -0.127786, 4.14075
x, y, u, v: 407, 263, -0.0905218, 3.99876
