x, y, u, v: 55, 439, -1.64446, -1.67334
x, y, u, v: 55, 447, -1.39213, -1.66502
x, y, u, v: 55, 455, -1.40706, -1.61899
x, y, u, v: 55, 463, -1.60578, -1.42456
x, y, u, v: 55, 471, -1.58314, -1.60148
x, y, u, v: 55, 479, -1.5751, -1.28605
x, y, u, v: 55, 487, -1.54148, -1.28555
x, y, u, v: 55, 495, -1.47736, -1.25366
x, y, u, v: 55, 503, -1.46409, -1.24921
x, y, u, v: 63, 7, 1.56574, -1.15832
x, y, u, v: 63, 15, 1.59259, -1.25024
x, y, u, v: 63, 23, 1.58369, -1.28738
x, y, u, v: 63, 31, 1.46488, -1.36421
x, y, u, v: 63, 39, 1.49268, -1.35484
x, y, u, v: 63, 47, 1.60994, -1.52821
x, y, u, v: 63, 55, 1.54824, -1.5623
x, y, u, v: 63, 63, 1.53517, -1.60966
x, y, u, v: 63, 71, 1.56189, -1.60592
x, y, u, v: 63, 79, 1.52962, -1.72648
x, y, u, v: 63, 87, 1.5633, -1.76564
x, y, u, v: 63, 95, 1.56696, -1.72816
x, y, u, v: 63, 103, 1.48203, -2.26036
x, y, u, v: 63, 111, 1.49042, -2.05223
x, y, u, v: 63, 119, 1.39699, -2.12535
x, y, u, v: 63, 127, 1.41511, -2.12591
x, y, u, v: 63, 135, 1.5237, -2.39135
x, y, u, v: 63, 143, 1.28524, -2.28134
x, y, u, v: 63, 151, 1.16057, -2.33553
x, y, u, v: 63, 159, 1.18855, -2.52891
x, y, u, v: 63, 167, 1.16241, -2.57658
x, y, u, v: 63, 175, 0.995665, -2.72619
x, y, u, v: 63, 183, 1.04058, -2.84704
x, y, u, v: 63, 191, 0.912078, -2.90127
x, y, u, v: 63, 199, 0.799783, -2.98079
x, y, u, v: 63, 207, 0.782352, -3.01761
x, y, u, v: 63, 215, 0.592281, -3.18768
x, y, u, v: 63, 223, 0.501148, -3.03333
x, y, u, v: 63, 231, 0.408426, -3.12031
x, y, u, v: 63, 239, 0.241986, -3.17251
x, y, u, v: 63, 247, 0.0535255, -3.03142
x, y, u, v: 63, 255, 0.0349248, -3.15516
x, y, u, v: 63, 263, -0.142861, -3.07846
x, y, u, v: 63, 271, -0.246087, -3.02486
x, y, u, v: 63, 279, -0.492452, -3.23593
x, y, u, v: 63, 287, -0.566725, -2.99034
x, y, u, v: 63, 295, -0.597201, -2.99664
x, y, u, v: 63, 303, -0.738352, -2.98887
x, y, u, v: 63, 311, -0.91232, -2.81672
x, y, u, v: 63, 319, -0.959742, -2.81269
x, y, u, v: 63, 327, -1.16318, -2.71925
x, y, u, v: 63, 335, -1.1836, -2.60462
x, y, u, v: 63, 343, -1.16283, -2.57068
x, y, u, v: 63, 351, -1.33395, -2.25586
x, y, u, v: 63, 359, 4.05587, 4.81351
x, y, u, v: 63, 367, -1.31288, -2.25873
x, y, u, v: 63, 375, -1.35954, -2.36982
x, y, u, v: 63, 383, -1.45256, -1.97536
x, y, u, v: 63, 391, -1.34622, -2.05272
x, y, u, v: 63, 399, -1.53413, -1.99227
x, y, u, v: 63, 407, -1.66644, -2.08233
x, y, u, v: 63, 415, -1.62207, -1.91867
x, y, u, v: 63, 423, -1.61566, -1.80943
x, y, u, v: 63, 431, -1.55269, -1.69496
x, y, u, v: 63, 439, -1.5692, -1.57634
x, y, u, v: 63, 447, -1.63654, -1.51184
x, y, u, v: 63, 455, -6.66509, -5.99568
x, y, u, v: 63, 463, -1.60076, -1.45416
x, y, u, v: 63, 471, -1.56552, -1.47556
x, y, u, v: 63, 479, -1.4572, -1.41183
x, y, u, v: 63, 487, -1.57211, -1.2846
x, y, u, v: 63, 495, -1.68755, -1.18318
x, y, u, v: 63, 503, -1.59064, -1.10055
x, y, u, v: 71, 7, 1.57452, -1.20832
x, y, u, v: 71, 15, 1.59815, -1.19956
x, y, u, v: 71, 23, 1.54968, -1.33117
x, y, u, v: 71, 31, 6.06473, -6.20561
x, y, u, v: 71, 39, 1.64986, -1.44846
x, y, u, v: 71, 47, 1.60496, -1.46937
x, y, u, v: 71, 55, 1.5678, -1.50025
x, y, u, v: 71, 63, 1.40073, -1.58873
x, y, u, v: 71, 71, 1.58678, -1.59823
x, y, u, v: 71, 79, 1.59585, -1.80684
x, y, u, v: 71, 87, 1.59922, -1.79924
x, y, u, v: 71, 95, 1.5915, -1.79858
x, y, u, v: 71, 103, 1.61733, -1.87553
x, y, u, v: 71, 111, 1.60729, -2.11889
x, y, u, v: 71, 119, 1.60856, -2.08793
x, y, u, v: 71, 127, 1.58626, -2.30046
x, y, u, v: 71, 135, 1.49946, -2.2637
x, y, u, v: 71, 143, 1.3197, -2.39655
x, y, u, v: 71, 151, 1.33012, -2.43082
x, y, u, v: 71, 159, 1.31193, -2.59915
x, y, u, v: 71, 167, 1.17876, -2.76554
x, y, u, v: 71, 175, 1.22219, -2.80766
x, y, u, v: 71, 183, 1.04376, -2.86543
x, y, u, v: 71, 191, 0.971233, -2.92256
x, y, u, v: 71, 199, 0.860141, -3.11426
x, y, u, v: 71, 207, 0.83505, -3.08366
x, y, u, v: 71, 215, 0.687801, -3.07778
x, y, u, v: 71, 223, 0.6253, -3.07318
x, y, u, v: 71, 231, 0.394419, -3.22113
x, y, u, v: 71, 239, 0.334125, -3.34956
x, y, u, v: 71, 247, 0.0539672, -3.41229
x, y, u, v: 71, 255, -0.0235588, -3.42351
x, y, u, v: 71, 263, -0.111267, -3.50043
